"Informazioni cronologiche","Qual è la tua età?","In che regione vivi?","In che zona abiti?","Con quale genere ti identifichi?","Da quanti componenti è formato il tuo nucleo familiare?","Qual è la tua professione?","Consumi prodotti ittici?","Per quale motivo non consumi prodotti ittici?","Quanto spesso consumi prodotti ittici?","Che tipo di prodotti ittici consumi più frequentemente in casa?","Quanto tempo dedichi mediamente alla preparazione dei pasti durante la giornata?","Solitamente ti occupi tu della spesa nella tua famiglia?","Dove acquisti più spesso i tuoi prodotti ittici? (Puoi selezionare più opzioni) ","Quanto saresti disposto a spendere per un prodotto ittico di alta qualità (es. burger di pesce gourmet)?","Quali di questi prodotti surgelati consumeresti? (Puoi selezionare più opzioni) ","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La freschezza del prodotto acquistato]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La provenienza della materia prima]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La velocità di preparazione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La semplicità di preparazione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Il bilancio nutrizionale del prodotto]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La presenza di prodotti nuovi/innovativi]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Che il prodotto sia al naturale/poco lavorato]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Il prezzo]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La presenza di prodotti monoporzione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [La provenienza da fonti sostenibili degli ingredienti (es. pesca certificata)]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [Il basso impatto ambientale della produzione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [Il packaging eco-sostenibile ]"
"2024/11/24 12:09:44 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato","Non lo comprerei","Insalata di mare;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 12:20:21 PM CET","26-35 anni","Lombardia","Centro città","Donna","1","Studente","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Tartare pronte;Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante"
"2024/11/24 12:20:32 PM CET","26-35 anni","Lombardia","Centro città","Uomo","1","Studente","Si","","Una volta a settimana","Piatti pronti a base di pesce (es. burger, mix, tartare)","Meno di 15 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Tartare pronte;Prodotti gratinati;Insalata di mare","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante"
"2024/11/24 12:23:45 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","4+","Lavoratore","Si","","Più volte a settimana","Pesce surgelato","15-30 minuti","Raramente/Mai","Supermercato","Più di 10€","Tartare pronte;Burger di pesce;Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 12:26:00 PM CET","26-35 anni","Campania","Centro città","Uomo","2-3","Lavoratore","Si","","Più volte a settimana","Pesce surgelato","Meno di 15 minuti","A volte","Supermercato;Negozi specializzati (es. pescherie);Mercati locali;Online (e-commerce o delivery)","Più di 10€","Burger di pesce;Prodotti gratinati;Insalata di mare;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","5 - Molto importante","2 - Poco importante","5 - Molto importante","3 - Mediamente importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/24 12:27:45 PM CET","26-35 anni","Lombardia","Periferia città","Uomo","4+","Lavoratore","No","Sono vegetariano/vegano","","","","","","","","","","","","","","","","","","",""
"2024/11/24 12:36:55 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","Meno di 15 minuti","Raramente/Mai","Supermercato","Non lo comprerei","Insalata di mare;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 12:37:19 PM CET","60-70 anni","Campania","Esterno (es. campagna/costiera/montagna...)","Donna","2-3","Lavoratore","Si","","Più volte a settimana","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato;Negozi specializzati (es. pescherie)","Più di 10€","Prodotti gratinati;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 12:38:46 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","2-3","Studente","Si","","Più volte a settimana","Pesce fresco","30-60 minuti","Raramente/Mai","Supermercato","Sono disposto a spendere per pesci pescati e non allevati di determinate specie, cazz e il burger di pesce, il re degli scam ","Burger di pesce;Prodotti gratinati;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","1 - Non mi interessa","3 - Mediamente importante","2 - Poco importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante"
"2024/11/24 12:50:11 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Lavoratore","Si","","Una o due volte al mese","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 12:50:12 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","2-3","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante"
"2024/11/24 12:53:51 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","2-3","Lavoratore","Si","","Più volte a settimana","Pesce surgelato","Più di 60 minuti","Sempre/Quasi sempre","Supermercato;Negozi specializzati (es. pescherie)","5-8€","Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 12:54:43 PM CET","46-60 anni","Lombardia","Periferia città","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","Non lo comprerei","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","5 - Molto importante","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 12:56:29 PM CET","26-35 anni","Lombardia","Periferia città","Uomo","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato","8-10€","Burger di pesce;Prodotti gratinati;Condimenti per pasta o riso","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 12:56:30 PM CET","26-35 anni","Lombardia","Periferia città","Donna","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato","8-10€","Burger di pesce;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 12:57:25 PM CET","46-60 anni","Lombardia","Periferia città","Donna","2-3","Disoccupato","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/24 12:58:12 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","4+","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","Meno di 15 minuti","A volte","Negozi specializzati (es. pescherie)","Più di 10€","Tartare pronte","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante"
"2024/11/24 1:02:59 PM CET","46-60 anni","Lombardia","Periferia città","Uomo","4+","Pensionato","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","8-10€","Condimenti per pasta o riso","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 1:04:55 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","Meno di 15 minuti","Sempre/Quasi sempre","Supermercato;Negozi specializzati (es. pescherie)","8-10€","Burger di pesce;Prodotti gratinati;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 1:11:16 PM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","A volte","Negozi specializzati (es. pescherie)","8-10€","Condimenti per pasta o riso","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 1:14:18 PM CET","46-60 anni","Lombardia","Periferia città","Donna","2-3","Disoccupato","Si","","Una volta a settimana","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante"
"2024/11/24 1:19:22 PM CET","26-35 anni","Lombardia","Centro città","Uomo","4+","Lavoratore","Si","","Più volte a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante"
"2024/11/24 1:19:48 PM CET","46-60 anni","Lombardia","Periferia città","Donna","4+","Lavoratore","Si","","Più volte a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","8-10€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","2 - Poco importante","5 - Molto importante","4 - Abbastanza importante","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 1:20:01 PM CET","18-25 anni","Lombardia","Periferia città","Uomo","2-3","Studente","Si","","Più volte a settimana","Pesce fresco","15-30 minuti","Raramente/Mai","Supermercato;Mercati locali","Più di 10€","Tartare pronte;Spiedini di gamberi o molluschi","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante"
"2024/11/24 1:21:21 PM CET","46-60 anni","Veneto","Periferia città","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Supermercato","Più di 10€","Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","1 - Non mi interessa","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","2 - Poco importante","1 - Non mi interessa","1 - Non mi interessa"
"2024/11/24 1:24:13 PM CET","26-35 anni","Lombardia","Centro città","Uomo","1","Lavoratore","Si","","Una o due volte al mese","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Prodotti gratinati;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","5 - Molto importante","2 - Poco importante","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa"
"2024/11/24 1:26:09 PM CET","46-60 anni","Lombardia","Centro città","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","Più di 60 minuti","Sempre/Quasi sempre","Supermercato","Non lo comprerei","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante"
"2024/11/24 1:40:32 PM CET","26-35 anni","Lombardia","Periferia città","Donna","2-3","Lavoratore","No","Sono vegetariano/vegano","","","","","","","","","","","","","","","","","","",""
"2024/11/24 1:40:35 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 1:46:47 PM CET","60-70 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","1","Pensionato","Si","","Più volte a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato","Più di 10€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 1:48:57 PM CET","26-35 anni","Lombardia","Periferia città","Donna","2-3","Lavoratore","Si","","Una volta ogni due mesi o meno","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Burger di pesce;Insalata di mare;Spiedini di gamberi o molluschi","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","1 - Non mi interessa","3 - Mediamente importante","2 - Poco importante","1 - Non mi interessa"
"2024/11/24 1:50:25 PM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","A volte","Supermercato","5-8€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","1 - Non mi interessa","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 2:05:24 PM CET","36-45 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","Più di 10€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","1 - Non mi interessa","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 2:06:39 PM CET","46-60 anni","Veneto","Esterno (es. campagna/costiera/montagna...)","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Burger di pesce;Insalata di mare;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/24 2:19:38 PM CET","26-35 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","1","Lavoratore","Si","","Più volte a settimana","Salmone affumicato","30-60 minuti","A volte","Supermercato","8-10€","Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","1 - Non mi interessa","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/24 2:57:11 PM CET","46-60 anni","Toscana","Periferia città","Donna","2-3","Lavoratore","Si","","Più volte a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","Meno di 5€","Prodotti gratinati;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante"
